EntityNumber,ActivityGroup,NaceVersion,NaceCode,Classification
0202.414.452,6,2008,52220,MAIN
0202.414.452,1,2008,52241,MAIN
0202.414.452,1,2003,63111,MAIN
0202.414.452,6,2003,63220,MAIN
0202.470.177,6,2008,87301,MAIN
0202.470.177,1,2008,87101,MAIN
0202.508.878,6,2008,86906,MAIN
0202.554.113,6,2008,87101,MAIN
0202.554.113,1,2008,87101,MAIN
0202.554.113,1,2003,22220,MAIN
0202.554.608,6,2008,36000,MAIN
0202.554.608,1,2008,36000,MAIN
0202.554.608,1,2003,41000,MAIN
0202.555.004,6,2008,35130,MAIN
0202.555.004,1,2008,35110,MAIN
0202.555.004,1,2008,35220,SECO
0202.555.004,1,2008,73200,SECO
0202.555.004,1,2003,40110,MAIN
0202.555.004,1,2003,40220,SECO
0202.555.004,1,2003,74131,SECO
0202.962.701,6,2008,36000,MAIN
0202.962.701,1,2008,36000,MAIN
0202.962.701,1,2008,42212,SECO
0202.962.701,1,2008,42219,SECO
0202.962.701,1,2003,41000,MAIN
0203.071.973,6,2008,86901,MAIN
0203.071.973,1,2008,71121,MAIN
0203.071.973,1,2003,74203,MAIN
0203.201.340,6,2008,64110,MAIN
0203.201.340,1,2008,64110,MAIN
0203.201.340,1,2003,65110,MAIN
0203.201.340,6,2003,65110,MAIN
0203.286.759,6,2008,65121,MAIN
0203.286.759,1,2008,65121,MAIN
0203.286.759,1,2008,64999,SECO
0203.286.759,6,2003,66031,MAIN
0203.389.204,6,2008,96032,MAIN
0203.389.204,1,2008,96032,MAIN
0203.389.204,1,2008,56290,SECO
0203.389.204,1,2003,93032,MAIN
0203.389.204,1,2003,55510,SECO
0203.430.576,1,2008,49100,MAIN
0203.430.576,1,2008,80100,SECO
0203.430.576,1,2003,74501,MAIN
0203.430.576,1,2003,72600,SECO
0203.430.576,1,2003,74601,SECO
0203.563.111,1,2008,35110,MAIN
0203.563.111,1,2008,35130,SECO
0203.563.111,1,2008,35140,SECO
0203.563.111,1,2008,35220,SECO
0203.563.111,1,2008,37000,SECO
0203.563.111,1,2008,61200,SECO
0203.563.111,1,2003,40130,MAIN
0203.563.111,1,2003,40220,SECO
0203.563.111,1,2003,64200,SECO
0203.963.680,6,2008,37000,MAIN
0203.963.680,1,2008,37000,MAIN
0203.963.680,1,2003,90010,MAIN
0203.978.726,1,2008,64999,MAIN
0203.980.409,6,2008,86101,MAIN
0203.980.409,1,2008,86101,MAIN
0203.980.409,1,2008,56301,SECO
0203.980.409,1,2008,86220,SECO
0203.980.409,1,2008,87301,SECO
0203.980.409,1,2003,85110,MAIN
0203.980.409,1,2003,85315,SECO
0203.989.614,6,2008,36000,MAIN
0203.989.614,1,2008,36000,MAIN
0203.989.614,1,2003,41000,MAIN
0204.212.714,6,2008,84130,MAIN
0204.212.714,1,2008,84130,MAIN
0204.212.714,1,2008,68100,SECO
0204.212.714,1,2008,68203,SECO
0204.212.714,1,2008,84119,SECO
0204.212.714,1,2003,74142,MAIN
0204.245.277,6,2008,61200,MAIN
0204.245.277,1,2008,64200,MAIN
0204.245.277,1,2003,40110,MAIN
0204.259.135,6,2008,84130,MAIN
0204.259.135,1,2008,41102,MAIN
0204.259.135,1,2008,68203,SECO
0204.259.135,1,2008,70220,SECO
0204.259.135,1,2008,71121,SECO
0204.259.135,1,2008,82990,SECO
0204.259.135,1,2003,70111,MAIN
0204.359.994,6,2008,37000,MAIN
0204.359.994,1,2008,71121,MAIN
0204.359.994,1,2008,37000,SECO
0204.359.994,1,2003,74203,MAIN
0204.359.994,1,2003,90010,SECO
0204.908.936,6,2008,36000,MAIN
0204.908.936,1,2008,36000,MAIN
0204.908.936,1,2003,41000,MAIN
0204.923.881,6,2008,36000,MAIN
0204.923.881,1,2008,36000,MAIN
0204.923.881,1,2003,41000,MAIN
0205.097.392,6,2008,52220,MAIN
0205.097.392,1,2008,52220,MAIN
0205.097.392,1,2003,63220,MAIN
0205.097.392,6,2003,63220,MAIN
0205.157.176,1,2008,42220,MAIN
0205.157.176,1,2003,40110,MAIN
0205.157.869,6,2008,84120,MAIN
0205.157.869,1,2008,71121,MAIN
0205.157.869,1,2003,74203,MAIN
0205.264.668,6,2008,36000,MAIN
0205.264.668,1,2008,36000,MAIN
0205.264.668,1,2003,41000,MAIN
0205.350.681,6,2008,84130,MAIN
0205.350.681,1,2008,82110,MAIN
0205.350.681,1,2008,68311,SECO
0205.350.681,1,2003,70311,MAIN
0205.620.501,6,2008,36000,MAIN
0205.620.501,1,2008,36000,MAIN
0205.620.501,1,2003,41000,MAIN
0205.764.318,6,2008,64190,MAIN
0205.764.318,1,2008,64190,MAIN
0205.764.318,1,2003,65120,MAIN
0205.764.318,6,2003,65120,MAIN
0205.774.810,6,2008,84130,MAIN
0205.774.810,1,2008,42110,MAIN
0205.774.810,1,2008,41201,SECO
0205.774.810,1,2008,84120,SECO
0205.774.810,1,2003,45230,MAIN
0205.774.810,1,2003,45211,SECO
0205.774.810,1,2003,75120,SECO
0205.797.475,6,2008,84130,MAIN
0205.797.475,1,2008,41102,MAIN
0205.797.475,1,2008,41101,SECO
0205.797.475,1,2008,52100,SECO
0205.797.475,1,2008,68203,SECO
0205.797.475,1,2008,69109,SECO
0205.797.475,1,2008,71121,SECO
0205.797.475,1,2008,82110,SECO
0205.797.475,1,2008,94110,SECO
0205.797.475,1,2003,91110,MAIN
0205.797.475,1,2003,74203,SECO
0206.041.757,6,2008,84119,MAIN
0206.048.091,6,2008,52230,MAIN
0206.048.091,1,2008,52230,MAIN
0206.048.091,1,2003,63230,MAIN
0206.048.091,6,2003,63230,MAIN
0206.157.761,6,2008,93299,MAIN
0206.414.218,1,2008,2100,MAIN
0206.414.218,1,2008,55300,SECO
0206.414.218,1,2003,15111,MAIN
0206.414.218,1,2003,55220,SECO
0206.460.639,6,2008,84119,MAIN
0206.460.639,1,2008,41101,MAIN
0206.460.639,1,2008,71113,SECO
0206.460.639,1,2008,87909,SECO
0206.460.639,1,2003,70111,MAIN
0206.491.422,6,2008,84114,MAIN
0206.491.917,6,2008,84114,MAIN
0206.492.610,6,2008,84114,MAIN
0206.492.610,1,2008,36000,MAIN
0206.492.610,1,2003,41000,MAIN
0206.492.907,6,2008,90012,MAIN
0206.492.907,1,2008,90012,MAIN
0206.492.907,1,2003,92312,MAIN
0206.492.907,6,2003,92312,MAIN
0206.524.777,6,2008,84114,MAIN
0206.524.777,1,2008,84114,MAIN
0206.524.777,1,2008,10110,SECO
0206.524.777,1,2008,36000,SECO
0206.524.777,1,2003,15111,MAIN
0206.524.777,1,2003,2020,SECO
0206.524.777,1,2003,41000,SECO
0206.524.876,6,2008,84114,MAIN
0206.524.876,1,2008,68203,MAIN
0206.524.876,1,2008,2200,SECO
0206.524.876,1,2008,84114,SECO
0206.524.876,1,2003,41000,MAIN
0206.524.876,1,2003,2012,SECO
0206.524.975,6,2008,84114,MAIN
0206.524.975,1,2008,84114,MAIN
0206.524.975,1,2008,36000,SECO
0206.524.975,1,2008,56290,SECO
0206.524.975,1,2003,41000,MAIN
0206.524.975,1,2003,15111,SECO
0206.524.975,1,2003,55220,SECO
0206.543.781,6,2008,84114,MAIN
0206.543.781,1,2008,84114,MAIN
0206.543.781,1,2008,2200,SECO
0206.543.781,1,2008,93110,SECO
0206.543.781,1,2003,41000,MAIN
0206.543.781,1,2003,51531,SECO
0206.543.781,1,2003,92613,SECO
0206.544.474,6,2008,84114,MAIN
0206.544.474,1,2008,84114,MAIN
0206.544.474,1,2008,2200,SECO
0206.544.474,1,2008,35140,SECO
0206.544.474,1,2008,35300,SECO
0206.544.474,1,2003,41000,MAIN
0206.544.474,1,2003,2012,SECO
0206.544.474,1,2003,55220,SECO
0206.544.672,6,2008,84114,MAIN
0206.544.672,1,2008,36000,MAIN
0206.544.672,1,2008,2100,SECO
0206.544.672,1,2008,35110,SECO
0206.544.672,1,2003,41000,MAIN
0206.544.672,1,2003,2011,SECO
0206.544.672,1,2003,40110,SECO
0206.544.969,6,2008,84114,MAIN
0206.544.969,1,2008,84114,MAIN
0206.544.969,1,2008,2200,SECO
0206.544.969,1,2008,36000,SECO
0206.544.969,1,2008,55300,SECO
0206.544.969,1,2003,41000,MAIN
0206.544.969,1,2003,51531,SECO
0206.544.969,1,2003,55220,SECO
0206.561.993,6,2008,84114,MAIN
0206.561.993,1,2008,64910,MAIN
0206.561.993,1,2008,36000,SECO
0206.561.993,1,2003,65210,MAIN
0206.562.092,6,2008,84114,MAIN
0206.562.092,1,2008,36000,MAIN
0206.562.092,1,2003,41000,MAIN
0206.564.666,6,2008,84114,MAIN
0206.564.666,1,2008,84114,MAIN
0206.564.666,1,2008,36000,SECO
0206.564.666,1,2008,46710,SECO
0206.564.666,1,2008,46732,SECO
0206.564.666,1,2008,52230,SECO
0206.564.666,1,2008,68203,SECO
0206.564.666,1,2008,91041,SECO
0206.564.666,1,2008,91042,SECO
0206.564.666,1,2008,93110,SECO
0206.564.666,1,2008,93292,SECO
0206.564.666,1,2003,41000,MAIN
0206.564.963,6,2008,84114,MAIN
0206.564.963,1,2008,84114,MAIN
0206.564.963,1,2008,36000,SECO
0206.564.963,1,2003,41000,MAIN
0206.565.656,6,2008,84114,MAIN
0206.565.656,1,2008,84114,MAIN
0206.565.656,1,2008,2200,SECO
0206.565.656,1,2003,41000,MAIN
0206.565.755,6,2008,84114,MAIN
0206.565.755,1,2008,84114,MAIN
0206.565.755,1,2008,35110,SECO
0206.565.755,1,2008,35140,SECO
0206.565.755,1,2008,46732,SECO
0206.565.755,1,2003,92611,MAIN
0206.565.755,1,2003,51531,SECO
0206.565.953,6,2008,84114,MAIN
0206.565.953,1,2008,84114,MAIN
0206.565.953,1,2008,2200,SECO
0206.565.953,1,2008,10110,SECO
0206.565.953,1,2003,41000,MAIN
0206.565.953,1,2003,15111,SECO
0206.565.953,1,2003,51531,SECO
0206.566.052,6,2008,84114,MAIN
0206.566.052,1,2008,84114,MAIN
0206.566.052,1,2008,36000,SECO
0206.566.052,1,2003,41000,MAIN
0206.567.042,6,2008,84114,MAIN
0206.567.042,1,2008,84114,MAIN
0206.567.042,1,2008,2200,SECO
0206.567.042,1,2003,41000,MAIN
0206.567.042,1,2003,51531,SECO
0206.567.339,6,2008,84114,MAIN
0206.567.339,1,2008,84114,MAIN
0206.567.339,1,2008,2200,SECO
0206.567.339,1,2008,36000,SECO
0206.567.339,1,2003,41000,MAIN
0206.567.339,1,2003,51531,SECO
0206.578.722,6,2008,84114,MAIN
0206.578.722,1,2008,84114,MAIN
0206.578.722,1,2008,2200,SECO
0206.578.722,1,2008,35140,SECO
0206.578.821,6,2008,84114,MAIN
0206.578.821,1,2008,84114,MAIN
0206.578.821,1,2008,2200,SECO
0206.578.821,1,2008,36000,SECO
0206.578.821,1,2003,41000,MAIN
0206.578.821,1,2003,51531,SECO
0206.582.284,6,2008,84114,MAIN
0206.582.284,1,2008,84114,MAIN
0206.582.284,1,2003,75114,MAIN
0206.607.129,6,2008,71209,MAIN
0206.607.129,1,2008,47783,MAIN
0206.607.129,1,2008,46772,SECO
0206.607.129,1,2003,52491,MAIN
0206.607.129,1,2003,51570,SECO
0206.607.129,6,2003,74302,MAIN
0206.618.215,6,2008,84114,MAIN
0206.618.215,1,2008,46732,MAIN
0206.618.215,1,2008,96099,SECO
0206.618.215,1,2003,51531,MAIN
0206.618.215,1,2003,93053,SECO
0206.621.183,6,2008,84114,MAIN
0206.621.183,1,2008,36000,MAIN
0206.621.183,1,2003,41000,MAIN
0206.621.183,1,2003,55401,SECO
0206.621.282,6,2008,84114,MAIN
0206.621.678,6,2008,84114,MAIN
0206.621.975,6,2008,84114,MAIN
0206.625.935,6,2008,84114,MAIN
0206.625.935,1,2008,93110,MAIN
0206.625.935,1,2008,36000,SECO
0206.625.935,1,2003,41000,MAIN
0206.625.935,1,2003,15111,SECO
0206.625.935,1,2003,55401,SECO
0206.625.935,1,2003,92611,SECO
0206.626.331,6,2008,84114,MAIN
0206.626.331,1,2008,2200,MAIN
0206.626.331,1,2008,10110,SECO
0206.626.331,1,2008,36000,SECO
0206.626.331,1,2003,2012,MAIN
0206.626.331,1,2003,15111,SECO
0206.626.331,1,2003,41000,SECO
0206.626.925,6,2008,84114,MAIN
0206.626.925,1,2008,46732,MAIN
0206.626.925,1,2003,55220,MAIN
0206.628.707,6,2008,84114,MAIN
0206.628.707,1,2008,1490,MAIN
0206.636.526,6,2008,84114,MAIN
0206.636.526,1,2008,96099,MAIN
0206.636.526,1,2008,36000,SECO
0206.636.526,1,2003,93053,MAIN
0206.636.526,1,2003,41000,SECO
0206.642.563,6,2008,84114,MAIN
0206.642.563,1,2008,84114,MAIN
0206.642.563,1,2003,75114,MAIN
0206.644.444,6,2008,84114,MAIN
0206.644.741,6,2008,84114,MAIN
0206.644.741,1,2008,84114,MAIN
0206.644.741,1,2008,73120,SECO
0206.644.741,1,2008,77399,SECO
0206.644.741,1,2008,81100,SECO
0206.653.946,6,2008,84301,MAIN
0206.653.946,1,2008,84301,MAIN
0206.653.946,6,2003,75301,MAIN
0206.667.606,6,2008,84114,MAIN
0206.667.606,1,2008,84114,MAIN
0206.677.801,6,2008,84114,MAIN
0206.677.801,1,2008,84114,MAIN
0206.677.801,1,2008,37000,SECO
0206.677.801,1,2003,75114,MAIN
0206.677.801,1,2003,90010,SECO
0206.677.997,6,2008,84114,MAIN
0206.677.997,1,2008,77399,MAIN
0206.677.997,1,2008,42110,SECO
0206.677.997,1,2008,56309,SECO
0206.684.927,6,2008,84114,MAIN
0206.684.927,1,2008,36000,MAIN
0206.684.927,1,2008,52210,SECO
0206.684.927,1,2008,56102,SECO
0206.684.927,1,2008,56301,SECO
0206.684.927,1,2008,84130,SECO
0206.684.927,1,2003,41000,MAIN
0206.684.927,1,2003,55302,SECO
0206.684.927,1,2003,55401,SECO
0206.684.927,1,2003,63210,SECO
0206.684.927,1,2003,75130,SECO
0206.690.271,6,2008,84114,MAIN
0206.695.419,6,2008,94910,MAIN
0206.695.419,6,2003,91310,MAIN
0206.700.763,6,2008,84114,MAIN
0206.700.763,1,2008,46732,MAIN
0206.700.763,1,2008,36000,SECO
0206.700.763,1,2008,55300,SECO
0206.700.763,1,2008,56301,SECO
0206.700.763,1,2003,51531,MAIN
0206.700.763,1,2003,41000,SECO
0206.700.763,1,2003,55220,SECO
0206.700.763,1,2003,55401,SECO
0206.700.862,6,2008,84114,MAIN
0206.700.862,1,2008,84114,MAIN
0206.700.862,1,2008,2200,SECO
0206.700.862,1,2003,41000,MAIN
0206.700.862,1,2003,2011,SECO
0206.701.159,6,2008,84114,MAIN
0206.701.753,6,2008,84114,MAIN
0206.701.753,1,2008,96099,MAIN
0206.701.753,1,2003,93053,MAIN
0206.702.050,6,2008,84114,MAIN
0206.703.040,6,2008,84114,MAIN
0206.703.040,1,2008,84114,MAIN
0206.703.040,1,2008,2100,SECO
0206.704.525,6,2008,84114,MAIN
0206.704.525,1,2008,46216,MAIN
0206.704.525,1,2008,46732,SECO
0206.705.713,6,2008,84114,MAIN
0206.706.109,6,2008,84114,MAIN
0206.706.109,1,2008,36000,MAIN
0206.706.109,1,2008,10110,SECO
0206.706.109,1,2008,55300,SECO
0206.706.109,1,2003,41000,MAIN
0206.706.109,1,2003,15111,SECO
0206.706.109,1,2003,55220,SECO
0206.706.604,6,2008,84114,MAIN
0206.706.604,1,2008,35110,MAIN
0206.706.604,1,2008,35140,SECO
0206.706.604,1,2008,47640,SECO
0206.731.645,6,2008,84301,MAIN
0206.731.645,1,2008,84301,MAIN
0206.731.645,1,2003,75301,MAIN
0206.731.645,6,2003,75301,MAIN
0206.732.437,6,2008,84301,MAIN
0206.732.437,6,2003,75301,MAIN
0206.732.536,6,2008,84301,MAIN
0206.732.536,1,2008,84301,MAIN
0206.732.536,6,2003,75301,MAIN
0206.732.932,6,2008,84301,MAIN
0206.732.932,1,2008,84301,MAIN
0206.732.932,6,2003,75301,MAIN
0206.733.130,6,2008,84130,MAIN
0206.733.130,6,2003,75130,MAIN
0206.733.229,6,2008,84130,MAIN
0206.733.229,6,2003,75130,MAIN
0206.734.021,6,2008,84130,MAIN
0206.734.021,6,2003,75130,MAIN
0206.734.318,6,2008,84301,MAIN
0206.734.318,1,2008,84301,MAIN
0206.734.318,6,2003,75301,MAIN
0206.737.484,6,2008,84301,MAIN
0206.737.484,1,2008,84111,MAIN
0206.737.484,6,2003,75301,MAIN
0206.737.880,6,2008,90012,MAIN
0206.737.880,6,2003,92312,MAIN
0206.738.078,6,2008,84301,MAIN
0206.738.078,1,2008,96099,MAIN
0206.738.078,1,2008,35130,SECO
0206.738.078,6,2003,75301,MAIN
0206.751.837,6,2008,84114,MAIN
0206.751.837,1,2008,84114,MAIN
0206.751.837,1,2008,37000,SECO
0206.751.837,1,2003,70111,MAIN
0206.751.837,1,2003,63122,SECO
0206.751.837,1,2003,90010,SECO
0206.767.574,6,2008,84130,MAIN
0206.767.574,1,2008,84130,MAIN
0206.767.574,1,2008,81100,SECO
0206.767.574,1,2008,84119,SECO
0206.767.574,1,2003,70322,MAIN
0206.768.366,6,2008,84114,MAIN
0206.768.366,1,2008,46732,MAIN
0206.768.366,1,2003,51531,MAIN
0206.772.722,6,2008,94993,MAIN
0206.848.639,6,2008,38213,MAIN
0206.848.639,1,2008,38219,MAIN
0206.848.639,1,2008,35110,SECO
0206.848.639,1,2008,52100,SECO
0206.848.639,1,2003,90021,MAIN
0206.848.639,1,2003,40110,SECO
0206.848.639,1,2003,63122,SECO
0206.914.361,6,2008,84114,MAIN
0206.914.361,1,2008,84112,MAIN
0206.914.361,1,2008,84130,SECO
0207.067.482,6,2008,84114,MAIN
0207.067.482,1,2008,68204,MAIN
0207.067.482,1,2003,70203,MAIN
0207.078.568,6,2008,84114,MAIN
0207.078.568,1,2008,46732,MAIN
0207.078.568,1,2003,51531,MAIN
0207.087.872,6,2008,84119,MAIN
0207.087.872,1,2008,84119,MAIN
0207.087.872,1,2008,68311,SECO
0207.087.872,1,2003,45211,MAIN
0207.087.872,1,2003,70311,SECO
0207.146.864,1,2008,96099,MAIN
0207.146.864,1,2003,93053,MAIN
0207.147.656,6,2008,85591,MAIN
0207.147.656,6,2003,80421,MAIN
0207.148.052,6,2008,84115,MAIN
0207.148.052,1,2008,56301,MAIN
0207.148.052,1,2008,56101,SECO
0207.148.052,1,2008,68203,SECO
0207.148.052,1,2008,68204,SECO
0207.148.052,1,2008,84115,SECO
0207.148.052,1,2003,75115,MAIN
0207.148.250,6,2008,84114,MAIN
0207.148.250,1,2008,84114,MAIN
0207.148.250,1,2008,36000,SECO
0207.148.250,1,2008,68204,SECO
0207.148.250,1,2008,77210,SECO
0207.148.250,1,2008,77299,SECO
0207.148.250,1,2003,75114,MAIN
0207.148.250,1,2003,41000,SECO
0207.165.769,1,2008,35130,MAIN
0207.165.769,1,2008,35220,SECO
0207.165.769,1,2003,40220,MAIN
0207.165.769,1,2003,40110,SECO
0207.201.797,6,2008,84114,MAIN
0207.201.797,1,2008,64910,MAIN
0207.201.797,1,2008,37000,SECO
0207.201.797,1,2008,52210,SECO
0207.201.797,1,2003,65210,MAIN
0207.201.797,1,2003,63210,SECO
0207.201.797,1,2003,90010,SECO
0207.202.193,6,2008,84114,MAIN
0207.202.193,1,2008,84114,MAIN
0207.215.160,6,2008,84114,MAIN
0207.215.160,1,2008,2100,MAIN
0207.215.160,1,2003,90010,MAIN
0207.227.731,6,2008,84114,MAIN
0207.258.514,6,2008,84114,MAIN
0207.258.514,1,2008,77299,MAIN
0207.258.514,1,2008,96099,SECO
0207.274.350,6,2008,84114,MAIN
0207.274.647,6,2008,84114,MAIN
0207.275.538,6,2008,84114,MAIN
0207.275.538,1,2008,84114,MAIN
0207.277.122,6,2008,84114,MAIN
0207.277.617,6,2008,84114,MAIN
0207.279.397,6,2008,84114,MAIN
0207.279.397,1,2008,68204,MAIN
0207.279.397,1,2003,70204,MAIN
0207.279.397,1,2003,55220,SECO
0207.279.397,1,2003,92520,SECO
0207.279.793,6,2008,84114,MAIN
0207.279.793,1,2008,84114,MAIN
0207.279.793,1,2003,75114,MAIN
0207.280.090,6,2008,84114,MAIN
0207.280.387,6,2008,84114,MAIN
0207.280.387,1,2008,38219,MAIN
0207.281.476,6,2008,84114,MAIN
0207.281.476,1,2008,10110,MAIN
0207.281.476,1,2008,52210,SECO
0207.281.476,1,2008,96099,SECO
0207.281.476,1,2003,15111,MAIN
0207.281.476,1,2003,63210,SECO
0207.281.476,1,2003,93053,SECO
0207.282.169,6,2008,84114,MAIN
0207.282.268,6,2008,84114,MAIN
0207.283.654,6,2008,84114,MAIN
0207.283.951,6,2008,84114,MAIN
0207.283.951,1,2008,56301,MAIN
0207.284.248,6,2008,84114,MAIN
0207.284.248,1,2008,84114,MAIN
0207.284.248,1,2003,92613,MAIN
0207.284.347,6,2008,84114,MAIN
0207.284.644,6,2008,84114,MAIN
0207.286.129,6,2008,84114,MAIN
0207.286.129,1,2008,84114,MAIN
0207.286.822,6,2008,84114,MAIN
0207.286.822,1,2008,84114,MAIN
0207.287.713,6,2008,84114,MAIN
0207.287.713,1,2008,84114,MAIN
0207.288.604,6,2008,84114,MAIN
0207.288.604,1,2008,84114,MAIN
0207.289.295,6,2008,84114,MAIN
0207.290.681,6,2008,84114,MAIN
0207.291.572,6,2008,84114,MAIN
0207.291.572,1,2008,84114,MAIN
0207.291.572,1,2003,75114,MAIN
0207.292.463,6,2008,84114,MAIN
0207.293.651,6,2008,84114,MAIN
0207.294.047,6,2008,84114,MAIN
0207.294.047,1,2008,77110,MAIN
0207.294.047,1,2008,77399,SECO
0207.294.443,6,2008,84114,MAIN
0207.294.443,1,2008,10110,MAIN
0207.294.443,1,2008,36000,SECO
0207.294.443,1,2003,15111,MAIN
0207.294.443,1,2003,41000,SECO
0207.297.017,6,2008,84114,MAIN
0207.297.116,6,2008,84114,MAIN
0207.297.116,1,2008,84112,MAIN
0207.297.116,1,2003,75112,MAIN
0207.298.106,6,2008,84114,MAIN
0207.298.502,6,2008,84114,MAIN
0207.298.995,6,2008,84114,MAIN
0207.299.589,6,2008,84114,MAIN
0207.300.678,6,2008,84114,MAIN
0207.300.876,6,2008,84114,MAIN
0207.300.876,1,2008,2200,MAIN
0207.300.876,1,2003,2012,MAIN
0207.301.767,6,2008,84114,MAIN
0207.301.767,1,2008,2100,MAIN
0207.301.767,1,2003,2011,MAIN
0207.302.559,6,2008,84114,MAIN
0207.302.559,1,2008,2100,MAIN
0207.302.559,1,2003,2011,MAIN
0207.303.054,6,2008,84114,MAIN
0207.303.054,1,2008,2100,MAIN
0207.303.054,1,2003,2011,MAIN
0207.303.747,6,2008,84114,MAIN
0207.303.747,1,2008,2100,MAIN
0207.303.747,1,2003,2011,MAIN
0207.306.717,6,2008,84114,MAIN
0207.306.717,1,2008,84114,MAIN
0207.307.311,6,2008,84114,MAIN
0207.307.311,1,2008,2200,MAIN
0207.308.596,6,2008,84114,MAIN
0207.308.596,1,2008,84114,MAIN
0207.309.091,6,2008,84114,MAIN
0207.309.091,1,2008,84114,MAIN
0207.309.091,1,2003,75114,MAIN
0207.309.784,6,2008,84114,MAIN
0207.309.784,1,2008,36000,MAIN
0207.309.784,1,2003,41000,MAIN
0207.310.774,6,2008,84114,MAIN
0207.310.774,1,2008,84114,MAIN
0207.310.774,1,2003,75114,MAIN
0207.312.259,6,2008,84114,MAIN
0207.312.358,6,2008,84114,MAIN
0207.312.358,1,2008,84114,MAIN
0207.312.457,6,2008,84114,MAIN
0207.312.952,6,2008,84114,MAIN
