EstablishmentNumber,StartDate,EnterpriseNumber
2.000.124.954,01-10-1964,0401.898.219
2.000.125.251,01-09-1964,0403.707.664
2.000.125.350,01-11-1964,0403.646.791
2.000.125.647,01-11-1964,0406.845.021
2.000.126.043,01-10-1964,0409.998.313
2.000.126.538,01-12-1964,0403.820.601
2.000.127.330,01-01-1965,0512.726.855
2.000.127.429,01-12-1964,0403.821.490
2.000.127.726,01-11-1964,0400.234.371
2.000.127.924,01-11-1964,0400.254.860
2.000.128.023,01-03-1967,0591.803.235
2.000.128.617,01-12-1964,0675.190.373
2.000.129.706,01-11-1964,0405.036.168
2.000.131.090,01-10-1964,0403.585.920
2.000.131.882,17-04-1997,0400.630.091
2.000.132.278,01-10-1964,0400.396.204
2.000.132.377,01-11-1964,0400.396.204
2.000.133.169,01-12-1964,0562.384.818
2.000.133.763,01-10-1964,0403.334.116
2.000.133.961,01-07-1964,0403.661.144
2.000.135.149,01-11-1964,0405.328.059
2.000.135.446,01-12-1964,0400.170.530
2.000.136.931,01-01-1965,0608.609.969
2.000.137.129,01-12-1964,0608.578.196
2.000.137.228,01-03-1967,0400.495.776
2.000.137.525,01-12-1964,0401.799.041
2.000.138.119,01-01-1967,0400.524.282
2.000.138.218,01-03-1967,0614.251.807
2.000.139.406,19-04-1999,0605.067.489
2.000.140.790,01-10-1964,0404.740.715
2.000.141.186,01-09-1964,0516.288.636
2.000.141.681,01-12-1985,0404.396.364
2.000.141.780,01-12-1985,0404.396.364
2.000.142.077,01-01-1965,0401.819.926
2.000.142.869,01-02-1957,0401.196.651
2.000.146.136,03-09-1992,0404.318.170
2.000.149.403,01-01-1965,0593.341.476
2.000.150.787,01-12-1964,0403.376.082
2.000.151.282,01-11-1964,0403.317.585
2.000.151.975,01-01-1985,0656.235.979
2.000.152.470,12-09-1986,0601.781.169
2.000.152.767,01-01-1965,0513.583.920
2.000.154.054,01-01-1965,0569.138.986
2.000.154.252,01-01-1967,0403.977.086
2.000.155.044,01-03-1967,0403.923.539
2.000.155.143,01-01-1965,0576.301.447
2.000.155.242,01-01-1965,0571.524.988
2.000.155.638,01-12-1964,0403.548.209
