EstablishmentNumber,StartDate,EnterpriseNumber
2.001.124.549,29-09-1980,0404.914.028
2.001.126.232,01-10-1966,0404.024.596
2.001.126.529,01-10-1966,0404.688.255
2.001.126.628,01-10-1966,0404.799.806
2.001.127.420,01-10-1966,0404.562.848
2.001.128.212,01-11-1966,0587.426.060
2.001.128.410,01-01-1966,0405.597.877
2.001.128.608,21-12-1976,0526.262.018
2.001.129.301,01-07-1966,0400.077.785
2.001.129.695,01-09-1966,0403.613.337
2.001.129.893,01-11-1965,0400.833.296
2.001.130.091,11-03-1987,0702.343.841
2.001.130.190,25-02-1982,0702.343.841
2.001.130.388,01-10-1966,0403.549.001
2.001.130.586,01-06-1966,0403.636.794
2.001.132.863,01-09-1966,0403.484.267
2.001.134.150,01-06-1967,0526.187.584
2.001.134.843,22-01-1998,0403.181.686
2.001.136.922,01-10-1966,0521.050.544
2.001.137.120,01-10-1966,0523.209.090
2.001.138.110,01-11-1966,0584.746.979
2.001.138.209,01-11-1966,0400.163.305
2.001.138.605,01-08-1966,0404.442.785
2.001.139.989,01-10-1966,0614.473.323
2.001.140.484,30-08-1978,0661.044.607
2.001.140.583,22-02-1980,0661.044.607
2.001.140.880,01-01-1972,0401.172.303
2.001.140.979,01-09-1966,0401.172.303
2.001.141.474,01-10-1966,0528.318.319
2.001.142.563,01-10-1966,0401.337.894
2.001.142.959,01-10-1966,0532.017.284
2.001.144.642,10-09-1957,0403.217.320
2.001.145.434,01-10-1966,0622.194.028
2.001.147.612,01-11-1966,0702.247.930
2.001.149.194,01-05-1967,0400.278.913
2.001.150.085,01-01-1966,0404.583.535
2.001.150.283,01-10-1966,0655.335.958
2.001.150.976,01-09-1966,0401.976.710
2.001.151.372,01-04-1966,0570.620.316
2.001.151.669,01-09-1966,0581.979.610
2.001.151.966,01-09-1966,0400.205.568
2.001.152.956,01-04-1966,0402.529.115
2.001.153.550,01-10-1966,0406.036.852
2.001.154.243,01-09-1966,0403.359.949
2.001.154.540,01-11-1966,0404.163.168
2.001.154.639,01-10-1966,0400.308.805
2.001.155.233,01-10-1966,0405.223.141
2.001.156.421,10-10-1991,0775.096.514
2.001.156.817,01-01-1967,0400.848.738
2.001.157.015,01-05-1966,0404.068.247
2.001.157.114,01-05-1966,0404.038.751
2.001.158.993,01-11-1966,0403.365.788
2.001.159.092,01-10-1964,0403.503.568
2.001.162.458,01-04-1966,0400.984.439
2.001.163.943,18-05-1999,0405.356.763
2.001.164.735,01-11-1966,0401.222.880
2.001.164.834,01-11-1966,0405.713.485
2.001.165.527,01-11-1966,0402.457.057
2.001.165.626,01-11-1966,0402.422.811
2.001.165.725,01-10-1966,0402.422.811
2.001.166.913,05-11-1966,0614.604.173
2.001.167.210,01-09-1966,0401.728.963
2.001.169.386,01-09-1966,0424.803.778
2.001.169.683,27-09-1991,0502.199.088
2.001.169.782,01-12-1966,0404.043.206
2.001.170.475,01-11-1966,0401.296.819
2.001.171.168,01-10-1966,0569.701.784
2.001.171.663,01-12-1965,0202.470.177
2.001.171.762,01-10-1945,0402.299.877
2.001.171.960,01-10-1966,0402.332.937
2.001.172.257,01-10-1966,0402.025.606
2.001.172.554,01-01-1967,0403.184.458
2.001.172.653,01-11-1966,0402.201.986
2.001.173.742,01-11-1966,0400.006.026
2.001.174.138,01-11-1966,0580.602.408
2.001.174.732,01-12-1966,0405.810.881
2.001.175.524,01-01-1963,0405.073.582
2.001.175.722,01-11-1966,0530.405.304
2.001.176.910,01-12-1966,0402.076.480
2.001.177.504,01-12-1966,0401.287.416
2.001.179.185,01-10-1970,0549.292.885
2.001.179.284,01-12-1966,0549.292.885
2.001.179.581,01-10-1966,0401.815.768
2.001.179.680,01-11-1966,0401.742.128
2.001.180.076,01-05-1966,0403.303.531
2.001.180.373,01-08-1966,0403.494.264
2.001.180.472,01-01-1984,0403.494.264
2.001.180.571,01-06-1966,0404.376.964
2.001.181.363,01-11-1966,0582.039.689
2.001.182.551,01-12-1975,0401.075.501
2.001.182.749,10-03-1984,0401.075.501
2.001.184.729,01-10-1966,0403.572.755
2.001.184.828,01-12-1966,0403.572.755
2.001.185.620,01-01-1967,0703.256.829
2.001.186.016,27-02-1995,0405.498.206
2.001.187.204,01-08-1966,0402.733.112
2.001.187.697,01-11-1966,0400.417.879
2.001.189.776,01-11-1966,0404.785.057
2.001.191.162,10-02-1985,0624.723.649
2.001.192.548,01-09-1966,0405.624.405
2.001.192.746,01-12-1966,0611.159.584
2.001.193.835,01-01-1967,0517.866.964
2.001.194.627,01-11-1966,0696.208.194
2.001.196.310,01-01-1967,0402.689.857
2.001.196.508,01-12-1966,0403.306.501
2.001.196.706,01-12-1966,0402.841.592
2.001.196.805,01-12-1966,0405.900.755
2.001.196.904,01-11-1966,0400.468.260
2.001.197.201,01-01-1967,0402.972.246
2.001.197.595,01-10-1966,0525.012.894
2.001.197.793,11-01-1999,0405.357.654
2.001.198.585,19-06-1997,0434.265.535
2.001.198.684,01-09-1966,0528.228.643
2.001.201.753,01-12-1966,0401.307.410
2.001.202.050,01-01-1967,0401.405.497
2.001.202.347,01-12-1966,0402.408.359
2.001.202.446,01-10-1966,0401.395.995
2.001.206.307,01-12-1966,0514.242.233
2.001.207.691,10-06-1998,0405.852.354
2.001.207.790,01-04-1966,0405.852.354
2.001.208.483,01-12-1966,0403.913.344
2.001.210.463,01-12-1966,0405.354.981
2.001.210.958,25-03-1997,0405.681.516
2.001.211.354,01-12-1966,0401.231.986
2.001.211.552,01-12-1965,0401.245.052
2.001.213.433,01-10-1966,0405.767.034
2.001.213.532,01-12-1966,0400.835.969
2.001.213.631,10-11-1966,0400.835.969
2.001.214.423,01-09-1966,0403.333.027
2.001.214.918,01-01-1967,0402.703.220
2.001.215.413,01-07-1966,0403.246.222
2.001.215.512,01-07-1966,0403.246.222
2.001.217.094,01-12-1966,0566.151.782
2.001.218.183,01-12-1966,0403.111.016
2.001.219.272,01-11-1966,0403.207.026
2.001.219.965,01-12-1966,0404.800.893
2.001.220.757,01-12-1966,0404.993.311
2.001.223.430,01-11-1966,0775.011.885
2.001.223.529,01-01-1976,0775.011.885
2.001.224.420,30-01-1990,0401.384.317
2.001.224.618,01-01-1967,0625.925.657
2.001.227.982,01-01-1967,0604.121.443
2.001.228.378,01-02-1967,0401.666.013
2.001.228.576,01-03-1967,0616.704.125
2.001.230.457,01-12-1966,0532.155.955
2.001.230.556,01-11-1966,0405.614.111
2.001.231.249,01-01-1966,0402.529.016
2.001.231.744,01-01-1967,0611.175.026
2.001.232.140,01-12-1966,0402.022.933
2.001.232.239,01-12-1966,0403.073.996
2.001.233.427,01-10-1966,0400.948.114
2.001.233.526,01-12-1966,0527.003.770
2.001.234.516,01-01-1967,0530.001.169
2.001.236.197,01-01-1967,0596.536.736
2.001.236.692,01-01-1967,0404.426.850
2.001.236.890,01-12-1966,0403.317.486
2.001.237.187,01-12-1966,0401.594.648
2.001.238.474,01-08-1979,0586.671.341
2.001.239.167,01-11-1966,0400.175.676
2.001.239.761,01-01-1967,0520.366.693
2.001.239.959,01-01-1967,0531.414.795
2.001.240.157,01-01-1958,0401.245.943
2.001.240.256,01-12-1966,0405.185.925
2.001.242.632,01-01-1978,0524.209.675
2.001.244.018,01-01-1967,0575.758.049
2.001.244.414,01-10-1966,0405.032.111
2.001.244.909,01-01-1967,0559.014.760
2.001.245.602,01-12-1966,0400.523.193
2.001.245.701,01-02-1967,0403.397.165
2.001.246.194,01-01-1967,0400.420.948
2.001.246.689,01-01-1967,0573.074.317
2.001.247.481,01-01-1967,0406.058.430
2.001.251.243,01-01-1967,0614.593.582
2.001.251.342,01-10-1966,0401.742.425
2.001.251.441,01-12-1966,0404.364.591
2.001.251.540,01-12-1966,0401.631.072
2.001.252.332,01-01-1967,0402.115.181
2.001.253.124,01-12-1966,0404.397.849
2.001.255.005,01-01-1967,0404.319.853
2.001.255.401,01-06-1966,0400.945.441
2.001.256.785,01-01-1967,0402.483.583
2.001.256.884,01-01-1967,0402.483.583
2.001.256.983,01-01-1967,0402.483.583
2.001.257.082,01-01-1967,0620.392.697
2.001.258.171,01-12-1966,0406.053.975
2.001.258.369,01-12-1966,0401.343.933
2.001.258.468,01-07-1966,0405.810.485
2.001.259.755,01-11-1966,0402.881.778
2.001.259.953,01-01-1967,0400.502.211
2.001.260.646,01-12-1966,0404.173.759
2.001.261.834,01-01-1967,0536.009.231
2.001.263.814,01-01-1967,0512.024.693
2.001.265.693,01-10-1966,0406.058.727
2.001.266.881,01-01-1967,0581.385.534
2.001.267.079,01-01-1967,0404.297.780
2.001.267.178,01-01-1967,0404.297.780
2.001.267.574,01-01-1967,0592.163.917
2.001.268.465,01-01-1967,0629.022.531
2.001.270.940,01-01-1967,0403.484.465
2.001.271.930,01-09-1972,0405.535.917
2.001.273.613,01-01-1967,0588.125.450
2.001.274.306,09-10-1989,0591.014.664
2.001.275.987,14-03-1988,0609.288.870
2.001.276.086,29-04-1992,0609.288.870
2.001.277.373,01-01-1961,0401.250.101
2.001.278.462,01-01-1967,0581.268.045
2.001.280.442,01-12-1982,0518.339.690
2.001.280.640,01-01-1967,0681.137.562
2.001.282.818,15-10-1971,0402.185.952
2.001.283.907,01-11-1966,0401.988.784
2.001.284.303,01-01-1967,0403.450.813
2.001.285.192,01-02-1967,0401.331.560
2.001.286.380,01-09-1966,0405.941.337
2.001.287.667,01-01-1967,0748.002.434
2.001.287.766,05-05-1982,0748.002.434
2.001.288.558,01-10-1966,0405.922.432
2.001.291.132,01-01-1967,0620.540.276
2.001.291.924,01-01-1967,0619.359.252
2.001.292.914,01-01-1967,0401.328.788
2.001.293.310,01-02-1967,0706.445.159
2.001.293.409,01-02-1967,0706.445.159
2.001.293.508,01-02-1967,0706.445.159
2.001.293.904,01-01-1967,0403.725.975
2.001.294.892,08-01-1984,0705.378.456
2.001.297.961,01-01-1967,0401.725.993
2.001.298.060,01-06-1975,0401.725.993
2.001.298.456,01-01-1967,0530.037.296
2.001.298.654,01-04-1963,0405.513.052
2.001.301.228,01-01-1967,0400.471.428
2.001.301.723,01-01-1971,0611.156.616
2.001.302.119,01-01-1967,0405.591.444
2.001.303.208,01-01-1967,0403.974.316
2.001.303.703,01-12-1966,0401.486.463
2.001.304.691,01-12-1966,0402.373.915
2.001.304.790,01-02-1967,0404.235.424
2.001.305.285,01-04-1979,0614.940.012
2.001.305.384,01-02-1967,0401.661.360
2.001.305.483,01-01-1967,0401.212.289
2.001.305.879,18-04-2000,0623.394.749
2.001.306.572,01-01-1967,0403.862.369
2.001.306.770,17-10-1996,0403.862.369
2.001.308.057,01-01-1967,0401.042.936
2.001.308.750,01-02-1967,0585.609.487
2.001.309.245,01-02-1967,0575.046.088
2.001.310.334,01-10-1966,0400.627.618
2.001.310.532,01-01-1967,0572.170.039
2.001.310.928,01-02-1967,0405.265.406
2.001.311.720,01-03-1967,0747.395.490
2.001.312.116,01-02-1967,0594.278.814
2.001.312.314,01-02-1967,0402.508.131
2.001.312.710,01-05-1975,0609.358.255
2.001.313.403,01-12-1966,0401.113.212
2.001.313.502,01-04-1967,0610.594.313
2.001.313.797,01-12-1966,0401.161.514
2.001.315.777,01-02-1967,0403.635.410
2.001.316.470,01-02-1967,0519.189.728
2.001.316.668,01-02-1967,0405.529.482
2.001.316.866,01-02-1967,0618.233.260
2.001.317.955,01-02-1967,0572.929.510
2.001.318.054,01-02-1967,0572.929.510
2.001.318.549,01-01-1967,0404.174.848
2.001.321.618,01-01-1967,0522.151.295
2.001.322.410,01-02-1967,0526.084.349
2.001.323.103,01-12-1966,0405.558.582
2.001.323.893,01-06-1966,0405.446.835
2.001.327.556,01-05-1967,0605.078.872
2.001.328.348,01-01-1967,0403.931.061
2.001.329.635,01-08-1966,0626.254.665
2.001.329.734,13-07-1977,0626.254.665
2.001.330.130,01-05-1967,0623.520.651
2.001.330.724,01-07-1961,0400.947.718
2.001.330.922,01-02-1967,0400.959.891
2.001.332.407,01-10-1966,0404.012.720
2.001.332.803,01-01-1967,0404.265.811
2.001.333.593,01-06-1967,0405.200.573
2.001.333.989,01-05-1967,0405.222.844
2.001.334.781,01-06-1967,0405.562.641
2.001.337.058,01-05-1967,0400.097.680
2.001.337.553,01-07-1985,0726.142.196
2.001.338.444,01-03-1966,0401.206.450
2.001.339.335,01-05-1967,0401.131.424
2.001.339.434,01-03-1967,0401.201.995
2.001.343.293,01-06-1967,0403.263.840
2.001.343.887,01-01-1967,0401.467.162
2.001.345.570,01-02-1967,0402.813.482
2.001.348.243,01-06-1967,0401.656.610
2.001.348.441,01-09-1966,0401.722.431
2.001.349.728,12-04-1991,0403.847.919
2.001.350.619,01-04-1967,0403.567.312
2.001.350.916,01-04-1967,0403.592.551
2.001.351.312,09-06-1988,0404.062.903
2.001.351.708,28-12-2001,0405.182.460
2.001.353.587,01-05-1967,0520.459.339
2.001.354.874,01-06-1967,0405.471.381
2.001.354.973,01-12-1966,0531.164.377
2.001.355.567,01-02-1967,0401.018.289
2.001.355.864,01-03-1967,0401.124.494
2.001.356.557,01-04-1981,0404.369.442
2.001.356.656,01-07-1967,0404.369.442
2.001.356.854,01-03-1967,0610.866.408
2.001.358.735,01-06-1967,0591.026.839
2.001.359.230,01-04-1967,0401.107.371
2.001.359.923,26-08-1999,0602.549.152
2.001.360.319,13-06-1967,0401.422.820
2.001.361.606,01-06-1967,0401.501.410
2.001.362.002,01-05-1967,0400.562.488
2.001.362.693,01-06-1967,0548.227.667
2.001.362.891,01-03-1967,0403.352.823
2.001.363.386,01-04-1967,0401.957.211
2.001.363.485,01-06-1967,0401.003.047
2.001.363.881,01-06-1967,0405.569.965
2.001.364.673,01-06-1967,0531.273.453
2.001.365.069,01-06-1967,0634.119.781
2.001.365.168,01-05-1967,0400.972.363
2.001.365.366,01-06-1967,0400.101.937
2.001.365.762,01-06-1967,0405.523.049
2.001.366.554,01-07-1967,0400.892.189
2.001.366.950,01-04-1967,0401.773.505
2.001.367.049,01-04-1967,0401.773.505
2.001.367.346,01-06-1967,0400.544.474
2.001.367.445,01-06-1967,0402.067.968
2.001.368.732,01-01-1973,0401.985.420
2.001.368.831,01-01-1971,0401.985.420
2.001.368.930,01-04-1967,0401.985.420
2.001.369.425,01-08-1967,0513.123.169
2.001.369.920,01-06-1967,0400.195.967
2.001.370.019,01-05-1967,0400.201.115
2.001.370.415,01-06-1967,0406.636.767
2.001.370.910,01-08-1962,0532.687.970
2.001.372.492,01-10-1967,0404.411.509
2.001.372.591,01-07-1967,0402.372.628
2.001.375.957,01-07-1967,0405.778.219
2.001.376.056,01-05-1967,0402.311.953
2.001.376.353,01-06-1967,0401.658.390
2.001.377.145,01-06-1967,0405.572.242
2.001.377.244,01-06-1967,0533.051.226
2.001.377.838,01-06-1967,0509.212.980
2.001.378.828,01-05-1967,0401.452.811
2.001.378.927,01-07-1967,0595.565.845
2.001.379.917,01-06-1967,0611.018.836
2.001.380.511,01-07-1967,0584.171.018
2.001.381.895,01-05-1967,0595.185.268
2.001.382.885,01-06-1967,0610.095.554
2.001.383.083,01-07-1967,0610.598.667
2.001.383.182,01-03-1966,0610.510.080
2.001.383.578,01-07-1967,0572.033.744
2.001.383.875,01-01-1966,0404.961.241
2.001.383.974,01-07-1967,0509.271.576
2.001.384.172,01-07-1967,0523.154.157
2.001.385.063,01-06-1967,0405.658.849
2.001.385.657,01-07-1967,0403.103.789
2.001.386.251,01-07-1967,0510.594.736
2.001.388.825,01-07-1967,0581.728.992
2.001.389.320,15-09-1976,0524.182.357
2.001.389.716,01-07-1967,0405.338.353
2.001.390.013,01-01-1967,0402.356.691
2.001.391.496,01-07-1967,0403.921.064
2.001.391.694,01-05-1967,0401.627.609
2.001.392.981,01-07-1967,0401.619.293
2.001.395.060,01-07-1967,0545.074.375
2.001.395.852,01-05-1967,0400.475.386
2.001.396.050,16-05-2001,0400.909.512
2.001.396.644,01-07-1967,0405.175.730
2.001.396.941,01-05-1967,0405.813.455
2.001.398.129,01-05-1967,0403.443.586
2.001.398.723,01-07-1967,0402.845.849
2.001.399.614,01-07-1967,0572.910.308
2.001.403.275,01-01-1955,0402.315.814
2.001.403.968,01-04-1967,0401.123.506
2.001.405.750,01-06-1967,0404.056.666
2.001.406.938,01-07-1967,0404.139.513
2.001.407.334,27-08-1991,0545.559.771
2.001.407.433,01-07-1967,0523.311.634
2.001.408.126,01-07-1967,0401.860.013
2.001.411.193,01-07-1967,0583.466.084
2.001.411.688,01-07-1967,0610.743.276
2.001.413.668,01-07-1967,0402.078.361
2.001.413.767,01-07-1967,0594.884.172
2.001.415.252,01-10-1967,0403.887.412
2.001.415.351,01-07-1969,0403.887.412
2.001.416.143,01-06-1967,0560.500.642
2.001.416.440,01-08-1967,0520.207.238
2.001.417.628,01-07-1967,0400.641.375
2.001.419.806,02-01-1987,0512.826.132
2.001.420.202,01-01-1967,0403.857.520
2.001.420.992,01-08-1967,0574.288.302
2.001.423.764,01-06-1967,0631.216.216
2.001.424.655,14-01-1992,0405.728.630
2.001.425.249,01-04-1967,0402.477.744
2.001.426.239,17-12-1990,0731.302.103
2.001.426.833,01-05-1967,0403.415.080
2.001.428.813,01-08-1967,0585.808.734
2.001.429.110,23-01-1984,0530.508.935
2.001.429.506,01-08-1967,0584.325.921
2.001.430.989,01-11-1965,0401.716.590
2.001.431.781,01-08-1967,0532.017.086
2.001.431.880,01-01-1979,0532.017.086
2.001.433.068,01-09-1967,0569.620.028
2.001.434.454,01-09-1967,0602.117.404
2.001.434.553,01-08-1967,0402.380.843
2.001.435.147,01-08-1967,0601.037.140
2.001.435.345,01-08-1967,0400.238.430
2.001.436.434,18-02-1981,0405.567.886
2.001.436.533,01-07-1967,0405.817.217
2.001.436.632,20-08-1997,0405.817.217
2.001.437.127,03-08-1994,0405.985.976
2.001.437.523,29-11-1983,0509.693.428
2.001.437.622,01-08-1967,0404.454.564
2.001.437.820,01-03-1967,0404.430.711
2.001.439.008,01-06-1967,0406.493.742
2.001.441.382,01-05-1967,0403.373.411
2.001.441.481,01-08-1967,0401.860.409
2.001.441.580,01-09-1967,0536.049.912
2.001.441.778,01-08-1967,0402.204.956
2.001.442.075,01-07-1967,0402.180.212
2.001.442.768,01-05-1967,0401.887.727
2.001.442.867,01-08-1967,0403.422.802
2.001.443.065,01-07-1967,0405.894.421
2.001.445.738,01-09-1967,0406.238.968
2.001.447.520,01-08-1967,0577.447.928
2.001.448.312,01-04-1967,0400.315.436
2.001.451.280,01-08-1967,0650.043.619
2.001.451.973,01-06-1967,0402.393.018
2.001.452.072,01-06-1967,0403.893.647
2.001.453.260,01-05-1967,0401.309.289
2.001.454.052,01-08-1967,0641.033.210
2.001.455.438,01-09-1967,0400.635.536
2.001.456.428,01-07-1967,0400.128.067
2.001.457.913,01-08-1967,0404.713.001
2.001.459.594,01-04-1967,0403.085.874
2.001.460.485,01-07-1967,0403.544.051
2.001.460.584,01-09-1967,0400.505.377
2.001.460.683,01-08-1967,0402.054.409
2.001.461.178,01-05-1967,0401.371.053
2.001.461.277,01-09-1967,0402.570.982
2.001.462.861,22-08-1967,0400.233.975
2.001.463.455,01-10-1966,0400.110.845
2.001.463.653,01-04-1967,0400.185.277
2.001.464.049,01-10-1974,0401.019.675
2.001.464.544,01-06-1967,0413.564.745
2.001.464.643,01-01-1967,0405.179.193
2.001.464.742,01-08-1967,0405.087.440
2.001.464.841,01-08-1967,0405.152.667
2.001.465.633,01-08-1967,0405.413.478
2.001.465.831,01-07-1967,0405.979.444
2.001.465.930,03-01-2001,0405.539.479
2.001.466.029,01-07-1967,0405.539.479
2.001.466.326,01-08-1967,0405.579.566
2.001.467.019,18-08-1967,0513.788.610
2.001.467.316,22-10-2001,0513.125.644
2.001.467.415,01-08-1967,0404.198.109
2.001.468.207,01-06-1967,0403.485.752
2.001.468.603,01-08-1967,0403.344.311
2.001.469.294,01-07-1970,0401.947.016
2.001.469.393,01-06-1967,0405.902.240
2.001.469.492,01-05-1967,0401.981.064
2.001.469.789,01-07-1967,0403.003.227
2.001.470.383,01-10-1967,0613.328.624
2.001.471.373,09-08-1990,0401.348.089
2.001.471.868,01-09-1967,0772.187.207
2.001.473.353,01-07-1967,0405.986.273
2.001.473.452,01-09-1967,0593.248.535
2.001.473.749,01-09-1967,0400.225.166
2.001.475.333,01-07-1967,0405.299.652
2.001.475.630,01-09-1967,0405.358.446
2.001.476.026,01-09-1967,0533.538.008
2.001.476.521,01-09-1967,0405.352.508
2.001.477.016,01-01-1967,0405.469.205
2.001.477.313,01-09-1967,0704.021.050
2.001.477.412,09-11-1987,0704.021.050
2.001.478.006,09-12-1992,0405.242.739
2.001.478.204,01-04-1967,0405.258.278
2.001.479.192,01-07-1967,0405.925.697
2.001.479.687,01-09-1967,0574.262.467
2.001.481.370,01-09-1967,0656.344.659
2.001.481.568,09-05-2001,0656.344.659
2.001.481.667,01-10-1967,0619.370.041
2.001.481.766,01-07-1967,0406.159.586
2.001.482.063,01-07-1967,0401.260.987
2.001.482.558,13-09-1967,0401.247.725
2.001.482.855,01-09-1967,0608.621.946
2.001.483.152,01-06-1967,0402.459.235
2.001.483.251,12-09-1967,0609.888.191
2.001.487.607,01-09-1967,0405.924.412
2.001.488.102,01-08-1967,0404.382.211
2.001.489.783,01-10-1967,0401.858.924
2.001.490.872,01-09-1967,0403.305.412
2.001.491.367,01-10-1967,0577.381.810
2.001.492.357,01-09-1967,0703.069.460
2.001.494.634,01-09-1967,0525.211.547
2.001.494.733,08-04-1981,0525.211.547
2.001.495.426,30-09-1967,0404.032.516
2.001.495.525,26-07-1968,0404.032.516
2.001.495.723,11-06-1992,0447.479.113
2.001.497.109,01-02-1966,0405.807.022
2.001.497.307,01-09-1967,0503.178.194
2.001.497.604,01-07-1967,0401.581.186
2.001.500.869,01-05-1965,0404.391.911
2.001.501.166,01-11-1961,0616.551.893
2.001.501.463,01-07-1967,0406.708.924
2.001.501.562,01-10-1996,0690.140.548
2.001.502.156,01-09-1967,0692.173.786
2.001.502.849,01-08-1967,0402.297.404
2.001.504.433,01-10-1967,0402.827.340
2.001.504.532,01-07-1971,0402.827.340
2.001.504.631,01-08-1971,0402.827.340
2.001.504.730,01-06-1973,0402.827.340
2.001.504.829,01-06-1973,0402.827.340
2.001.504.928,01-07-1969,0402.827.340
2.001.512.252,01-03-1967,0405.238.284
2.001.513.539,01-10-1967,0402.762.806
2.001.513.737,01-10-1967,0405.570.064
2.001.513.836,01-09-1967,0406.487.309
2.001.514.529,01-05-1967,0590.652.497
2.001.515.519,01-08-1967,0590.610.828
2.001.515.816,01-12-1966,0403.316.201
2.001.516.410,01-08-1967,0401.939.789
2.001.516.509,01-09-1967,0401.833.782
2.001.518.091,01-10-1967,0604.011.377
2.001.518.487,01-10-1967,0404.348.953
2.001.518.883,01-03-1941,0402.550.295
2.001.519.477,01-11-1967,0529.280.401
2.001.519.576,01-10-1967,0406.397.831
2.001.520.071,01-10-1967,0407.604.490
2.001.520.566,01-05-1967,0403.589.383
2.001.522.150,01-10-1967,0406.419.013
2.001.522.348,01-10-1967,0623.231.334
2.001.522.744,01-01-1980,0626.840.031
2.001.522.843,01-01-1980,0626.840.031
2.001.522.942,01-09-1980,0626.840.031
2.001.523.041,01-01-1980,0626.840.031
2.001.524.229,01-10-1967,0403.964.814
2.001.524.526,01-07-1967,0401.507.051
2.001.525.021,01-05-1967,0406.753.068
2.001.525.120,01-05-1967,0406.753.068
2.001.526.011,01-02-1967,0400.571.495
2.001.526.704,01-10-1967,0510.209.409
2.001.527.395,01-10-1967,0404.731.411
2.001.527.494,01-09-1967,0403.702.122
2.001.528.682,01-11-1967,0522.672.820
2.001.528.979,01-10-1967,0400.523.787
2.001.529.276,17-05-1994,0400.531.014
2.001.529.771,01-09-1967,0402.397.768
2.001.529.969,01-10-1967,0597.141.304
2.001.530.266,14-06-1994,0613.416.122
2.001.530.365,01-10-1967,0613.416.122
2.001.530.563,01-09-1967,0402.940.077
2.001.532.048,01-10-1967,0578.125.641
2.001.532.246,01-10-1967,0400.690.469
2.001.532.345,07-03-1997,0404.683.307
2.001.532.543,30-05-2000,0404.683.307
2.001.532.642,09-09-1999,0404.683.307
2.001.534.028,01-10-1967,0401.557.531
2.001.534.424,01-09-1965,0400.257.830
2.001.534.622,01-10-1967,0405.198.197
2.001.535.216,04-01-2002,0532.333.921
2.001.535.513,01-11-1967,0405.206.315
2.001.535.810,01-06-1967,0405.237.690
2.001.536.305,01-10-1967,0522.856.922
2.001.537.887,26-07-1988,0577.690.725
2.001.538.085,01-10-1967,0577.889.970
2.001.540.065,01-07-1967,0405.960.836
2.001.541.055,01-10-1967,0774.023.475
2.001.541.154,07-01-1987,0774.023.475
2.001.541.352,01-07-1967,0401.446.376
2.001.541.847,01-10-1967,0608.220.187
2.001.541.946,01-10-1967,0608.220.187
2.001.544.124,01-10-1967,0842.516.462
2.001.544.223,01-01-1985,0427.302.321
2.001.545.708,01-09-1967,0404.850.383
2.001.546.696,01-10-1967,0673.019.553
2.001.546.795,01-11-1967,0405.511.072
2.001.547.389,01-09-1967,0400.622.470
2.001.548.676,01-11-1967,0604.014.842
2.001.549.864,01-10-1967,0405.222.745
2.001.550.062,01-10-1967,0406.463.256
2.001.550.656,01-10-1969,0401.068.274
2.001.552.636,01-04-1968,0402.407.864
2.001.552.735,29-10-1993,0401.479.040
2.001.554.121,01-10-1967,0403.542.071
2.001.554.616,18-09-2001,0552.079.854
2.001.555.705,01-08-1967,0404.321.437
2.001.556.101,01-10-1967,0573.327.111
2.001.557.089,01-11-1967,0580.697.329
2.001.557.683,03-10-2000,0406.563.028
2.001.558.178,01-11-1967,0518.363.446
2.001.558.574,01-11-1967,0401.558.917
2.001.559.663,01-11-1967,0596.282.457
2.001.560.059,28-03-2002,0405.199.979
2.001.560.950,01-01-1967,0403.633.430
2.001.561.247,01-04-1980,0630.216.423
2.001.561.544,01-04-1967,0400.797.664
2.001.562.336,01-11-1967,0718.055.762
2.001.564.217,01-11-1967,0403.921.658
2.001.565.009,02-01-1978,0532.556.229
2.001.566.393,23-03-1994,0523.648.857
2.001.566.591,01-08-1967,0405.400.711
2.001.566.888,01-10-1967,0404.137.533
2.001.567.086,01-11-1967,0403.769.527
2.001.568.472,01-11-1967,0401.344.923
2.001.569.858,01-03-1985,0611.713.177
2.001.570.650,01-06-1966,0404.804.061
2.001.570.749,11-09-1991,0404.804.061
2.001.571.838,01-11-1967,0402.720.046
2.001.571.937,01-11-1967,0573.428.069
2.001.572.333,01-11-1967,0400.920.596
2.001.572.630,01-03-1968,0402.135.274
2.001.572.729,01-10-1975,0402.135.274
2.001.572.927,01-11-1967,0403.253.546
2.001.573.026,01-11-1967,0403.253.546
2.001.573.125,01-03-1969,0403.253.546
2.001.573.224,01-03-1973,0403.253.546
2.001.573.422,01-11-1967,0402.738.456
2.001.573.719,16-09-1998,0424.084.988
2.001.574.511,01-12-1967,0573.303.652
2.001.574.808,21-11-1967,0400.733.823
2.001.575.697,01-11-1967,0404.086.063
2.001.575.895,01-10-1967,0406.685.960
2.001.575.994,01-11-1967,0404.476.142
2.001.576.885,01-07-1967,0402.676.989
2.001.577.083,01-11-1967,0406.690.811
2.001.577.281,01-11-1967,0404.702.608
2.001.580.053,01-11-1967,0594.831.912
2.001.581.637,01-11-1967,0613.120.964
2.001.583.221,01-11-1967,0597.379.943
2.001.583.320,01-10-1967,0402.468.044
2.001.583.716,01-10-1967,0401.428.263
2.001.583.815,01-09-1967,0401.427.867
2.001.584.310,01-12-1967,0401.798.645
2.001.585.496,01-11-1967,0526.219.654
2.001.585.892,01-07-1967,0400.308.310
2.001.586.783,01-01-1986,0511.744.878
2.001.586.882,01-11-1967,0511.744.878
2.001.587.575,01-10-1967,0577.814.449
2.001.588.466,01-06-1967,0403.993.221
